"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.ser.A_1P.call","thrpt",1,9,2248366.964264,25329.216489,"ops/s"
"org.wrongwrong.main.ser.E_5P.call","thrpt",1,9,1449476.484370,10736.024786,"ops/s"
"org.wrongwrong.main.ser.T_20P.call","thrpt",1,9,527103.131323,66974.345292,"ops/s"
