"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.ser.A_1P.call","thrpt",1,9,2268306.812885,104584.372234,"ops/s"
"org.wrongwrong.main.ser.E_5P.call","thrpt",1,9,1495556.213877,13721.909288,"ops/s"
"org.wrongwrong.main.ser.T_20P.call","thrpt",1,9,508479.164982,82010.565071,"ops/s"
