"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.ser.value_class.A_1P.call","ss",1,10,107.607756,3.475399,"ms/op"
"org.wrongwrong.extra.ser.value_class.E_5P.call","ss",1,10,111.921326,3.746453,"ms/op"
"org.wrongwrong.extra.ser.value_class.T_20P.call","ss",1,10,121.232256,4.530607,"ms/op"
