"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","ss",1,10,27.922716,3.116189,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","ss",1,10,29.208608,4.170277,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","ss",1,10,30.935991,4.014324,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","ss",1,10,30.464749,2.749825,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","ss",1,10,38.320726,2.122795,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","ss",1,10,37.639030,1.490283,"ms/op"
