"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","ss",1,10,25.281352,1.337891,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","ss",1,10,26.168462,1.345711,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","ss",1,10,27.593623,1.439130,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","ss",1,10,28.823354,3.790517,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","ss",1,10,32.822294,1.278540,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","ss",1,10,34.390848,2.597705,"ms/op"
