"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.ser.json_k_unbox_value_class.A_1P.call","ss",1,10,104.080487,4.961048,"ms/op"
"org.wrongwrong.extra.ser.json_k_unbox_value_class.E_5P.call","ss",1,10,105.976687,3.432414,"ms/op"
"org.wrongwrong.extra.ser.json_k_unbox_value_class.T_20P.call","ss",1,10,116.485818,1.679093,"ms/op"
