"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,10,29.161120,0.997993,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,10,28.915016,1.645956,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,10,30.720564,1.356560,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,26.339735,1.664118,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,27.987959,1.642834,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,33.473623,1.598473,"ms/op"
