"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,10,29.316342,2.191972,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,10,28.733089,1.982434,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,10,29.980330,1.305770,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,26.156555,2.197725,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,27.573550,1.328735,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,32.422476,1.619805,"ms/op"
