"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,10,34.231737,1.062714,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,10,28.716974,0.899067,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,10,30.637391,2.549552,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,25.780708,1.124508,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,26.936618,0.498129,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,33.404509,1.275043,"ms/op"
