"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","thrpt",1,9,1154375.857599,12816.779756,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","thrpt",1,9,1191621.368782,63565.236450,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","thrpt",1,9,601571.098445,12891.727885,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","thrpt",1,9,610706.488650,15892.389188,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","thrpt",1,9,187066.742047,5884.638423,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","thrpt",1,9,196402.969331,3765.422711,"ops/s"
