"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.ser.A_1P.call","ss",1,10,80.203878,2.635160,"ms/op"
"org.wrongwrong.main.ser.E_5P.call","ss",1,10,86.884604,3.591455,"ms/op"
"org.wrongwrong.main.ser.T_20P.call","ss",1,10,100.385204,4.422284,"ms/op"
